main_lens_parameter_theta_E,main_lens_parameter_center_x,main_lens_parameter_center_y,main_lens_parameter_e1,main_lens_parameter_e2,main_lens_parameter_gamma,main_lens_parameter_a4_a,main_lens_parameter_gamma_1,main_lens_parameter_gamma_2,main_lens_parameter_z_d,source_parameters_z_s,halo_parameters_m_min,halo_parameters_m_max,halo_parameters_sigma_sub,halo_parameters_delta_los,halo_parameters_rescale_mc_amp,halo_parameters_rescale_mc_slope,halo_parameters_concentration_model,halo_parameters_cone_angle,corr_func_parameter_As0,corr_func_parameter_n0,corr_func_parameter_As2,corr_func_parameter_n2
0.8784240252604606,0.0,0.0,0.09177992754772088,-0.10947423516353619,1.904622710398411,0.0,-0.04719991894501671,0.016497504404722908,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,7.35549376428912e-05,-0.20049401256323504,-3.828593743432771e-06,0.7687298162233612
0.966461572509379,0.0,0.0,0.03946915835612569,0.13729657244070295,1.936613609387457,0.0,-0.0193476607290887,0.046104967458095863,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,8.133397880898653e-05,-0.2464769471178086,-4.672053097162119e-06,0.7288483424792978
0.8067479975566394,0.0,0.0,0.049761020806024084,0.1339104330276344,2.0789956202110695,0.0,0.016747292393041166,-0.04711186896634419,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,0.00013869108766621386,-0.1687517840159393,-5.288155471037594e-06,0.7380671494423308
1.023993762263935,0.0,0.0,0.07581306811209636,0.12108072500913082,1.9463272596988062,0.0,0.011146728503603614,0.04874167050550227,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,0.0001377533002028258,-0.1709823139951602,-5.910600886921271e-06,0.7602692139502996
0.988191639266998,0.0,0.0,-0.05593499639301658,-0.1314512816362752,1.93501629693621,0.0,0.044141667093796765,0.023484318729322762,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,6.385480961821912e-05,-0.22247645446973618,-3.2687264826891416e-06,0.6141530328399329
1.0570135318936926,0.0,0.0,0.013185696981547248,-0.14224732215552227,2.048139753411625,0.0,0.04745156561853237,0.01575909008636336,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,7.859745573025844e-05,-0.2706008516380665,-7.51696224640699e-06,0.7864669363799978
0.8024435563545697,0.0,0.0,-0.12976173079194162,0.0597499496835419,2.006742729275332,0.0,0.04725500714120328,0.016339042202186363,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,7.493858859598954e-05,-0.2877768971954514,-7.418524053452333e-06,0.6100230734548984
0.9019640524913045,0.0,0.0,0.015345396291291082,0.14203056740705275,1.969603156775417,0.0,0.02949831626148084,-0.04037139256624243,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,0.0001499535606548016,-0.21153013684628047,-1.0066771269408282e-05,0.9346110470347585
0.9203965185227612,0.0,0.0,-0.13669982093203553,-0.04148882045148477,2.059025324458099,0.0,-0.017264574125478924,-0.04692477469595185,0.5,1.5,1000000.0,10000000000.0,0.049999999999999996,1.0,1,0,RescaledDiemerJoyce,8.0,4.8105182019924165e-05,-0.31300856744975913,-2.552683555740593e-06,0.7363500192394868











